"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Xinguara (PA)","35365","23792","7967","...","140","32","...","-","...","-","-","...","3135","..."
"Serra do Navio (AP)","3293","2116","763","...","7","4","...","-","...","-","-","...","294","..."
"Amapá (AP)","7121","6074","852","...","56","5","...","-","...","-","-","...","90","..."
"Pedra Branca do Amapari (AP)","4009","2707","695","...","-","-","...","-","...","-","-","...","524","..."
"Calçoene (AP)","6730","4825","824","...","69","-","...","-","...","-","-","...","948","..."
"Cutias (AP)","3280","2094","899","...","-","-","...","-","...","-","-","...","281","..."
"Ferreira Gomes (AP)","3562","2685","801","...","-","-","...","-","...","-","-","...","68","..."
"Itaubal (AP)","2894","2181","632","...","-","-","...","-","...","-","-","...","6","..."
"Laranjal do Jari (AP)","28515","20086","4281","...","386","-","...","-","...","-","-","...","3521","..."
"Macapá (AP)","283308","210958","48772","...","1352","850","...","45","...","178","39","...","15027","..."
"Mazagão (AP)","11986","7623","2442","...","70","-","...","-","...","12","-","...","328","..."
"Oiapoque (AP)","12886","8520","3277","...","77","20","...","-","...","9","-","...","861","..."
"Porto Grande (AP)","11042","7290","2219","...","33","6","...","-","...","-","-","...","1397","..."
"Pracuúba (AP)","2286","1406","746","...","-","-","...","-","...","-","-","...","134","..."
"Santana (AP)","80439","56530","17856","...","336","101","...","-","...","-","-","...","3361","..."
"Tartarugalzinho (AP)","7121","4888","2035","...","5","-","...","-","...","-","-","...","186","..."
"Vitória do Jari (AP)","8560","6696","1465","...","-","-","...","-","...","7","-","...","343","..."
"Abreulândia (TO)","2189","1852","280","...","-","17","...","-","...","-","-","...","41","..."
"Aguiarnópolis (TO)","3145","2745","257","...","-","13","...","-","...","-","-","...","118","..."
"Aliança do Tocantins (TO)","6177","5330","618","...","27","-","...","-","...","-","-","...","197","..."
"Almas (TO)","8474","6946","1071","...","45","9","...","-","...","-","-","...","365","..."
"Alvorada (TO)","8508","6410","1669","...","90","129","...","-","...","-","-","...","196","..."
"Ananás (TO)","10512","8311","1575","...","22","-","...","-","...","-","-","...","604","..."
"Angico (TO)","2889","2421","435","...","-","-","...","-","...","-","-","...","33","..."
"Aparecida do Rio Negro (TO)","3517","2879","558","...","-","24","...","-","...","-","-","...","55","..."
"Aragominas (TO)","6180","4967","968","...","20","-","...","-","...","-","-","...","206","..."
"Araguacema (TO)","5414","4133","1058","...","8","7","...","-","...","-","-","...","206","..."
"Araguaçu (TO)","9346","5930","2569","...","35","5","...","-","...","-","-","...","720","..."
"Araguaína (TO)","113143","83886","20657","...","1051","945","...","21","...","30","-","...","5898","..."
"Araguanã (TO)","4262","3486","532","...","-","-","...","-","...","-","-","...","238","..."
"Araguatins (TO)","26010","20227","3971","...","146","18","...","-","...","-","-","...","1503","..."
"Arapoema (TO)","7025","5491","1104","...","28","-","...","-","...","-","-","...","399","..."
"Arraias (TO)","10984","9936","756","...","-","117","...","-","...","-","-","...","32","..."
"Augustinópolis (TO)","12964","11181","1309","...","-","33","...","-","...","-","-","...","395","..."
"Aurora do Tocantins (TO)","3101","2642","321","...","-","-","...","-","...","-","-","...","139","..."
"Axixá do Tocantins (TO)","8827","7668","857","...","4","-","...","-","...","-","-","...","290","..."
"Babaçulândia (TO)","10688","8445","1438","...","3","10","...","-","...","-","-","...","766","..."
"Bandeirantes do Tocantins (TO)","2608","2277","170","...","-","6","...","-","...","-","-","...","151","..."
"Barra do Ouro (TO)","3579","3023","498","...","21","-","...","-","...","-","-","...","33","..."
"Barrolândia (TO)","5082","4172","714","...","-","-","...","-","...","-","-","...","183","..."
"Bernardo Sayão (TO)","4551","3291","1043","...","-","-","...","-","...","-","-","...","205","..."
"Bom Jesus do Tocantins (TO)","2323","2101","163","...","11","5","...","-","...","-","-","...","43","..."
"Brasilândia do Tocantins (TO)","1923","1522","388","...","-","-","...","-","...","-","-","...","8","..."
"Brejinho de Nazaré (TO)","4877","3225","1414","...","-","-","...","34","...","-","-","...","179","..."
"Buriti do Tocantins (TO)","7842","6584","931","...","-","-","...","-","...","-","-","...","304","..."
"Cachoeirinha (TO)","2023","1623","288","...","-","-","...","-","...","-","-","...","112","..."
"Campos Lindos (TO)","5638","4614","976","...","-","-","...","-","...","-","-","...","-","..."
"Cariri do Tocantins (TO)","2990","2417","485","...","15","-","...","-","...","-","-","...","73","..."
"Carmolândia (TO)","2008","1802","153","...","-","-","...","-","...","-","-","...","53","..."
"Carrasco Bonito (TO)","3218","3108","110","...","-","-","...","-","...","-","-","...","-","..."
"Caseara (TO)","3660","3181","464","...","-","-","...","-","...","-","-","...","-","..."
"Centenário (TO)","2163","2108","11","...","-","-","...","-","...","-","-","...","21","..."
"Chapada de Areia (TO)","1270","1040","139","...","-","-","...","-","...","-","-","...","91","..."
"Chapada da Natividade (TO)","3274","2859","396","...","-","-","...","-","...","-","-","...","16","..."
"Colinas do Tocantins (TO)","25301","18531","5313","...","37","116","...","-","...","-","-","...","1158","..."
"Combinado (TO)","4524","3133","1166","...","-","-","...","-","...","-","-","...","184","..."
"Conceição do Tocantins (TO)","4377","3812","512","...","-","-","...","-","...","-","-","...","53","..."
"Couto Magalhães (TO)","4335","3712","580","...","-","-","...","-","...","-","-","...","43","..."
"Cristalândia (TO)","7318","6493","648","...","23","5","...","-","...","-","-","...","140","..."
"Crixás do Tocantins (TO)","1384","1248","110","...","-","-","...","-","...","-","-","...","26","..."
"Darcinópolis (TO)","4273","3538","727","...","-","-","...","-","...","-","-","...","3","..."
"Dianópolis (TO)","15428","13187","1722","...","63","116","...","-","...","-","-","...","325","..."
"Divinópolis do Tocantins (TO)","5776","5028","605","...","71","5","...","-","...","-","-","...","55","..."
"Dois Irmãos do Tocantins (TO)","7269","6487","668","...","-","-","...","-","...","-","-","...","72","..."
"Dueré (TO)","4565","3656","545","...","-","-","...","-","...","-","-","...","364","..."
"Esperantina (TO)","7623","6220","1040","...","-","-","...","-","...","-","-","...","355","..."
"Fátima (TO)","3848","2852","698","...","-","-","...","-","...","-","-","...","298","..."
"Figueirópolis (TO)","5562","4190","1084","...","45","5","...","-","...","-","-","...","231","..."
"Filadélfia (TO)","8218","7446","654","...","-","-","...","-","...","-","-","...","77","..."
"Formoso do Araguaia (TO)","18817","14119","3015","...","41","159","...","-","...","-","-","...","1411","..."
"Fortaleza do Tabocão (TO)","2242","1980","179","...","3","-","...","-","...","16","-","...","58","..."
"Goianorte (TO)","4839","3598","1075","...","36","7","...","-","...","-","-","...","123","..."
"Goiatins (TO)","11036","8467","1343","...","14","11","...","-","...","-","-","...","1087","..."
"Guaraí (TO)","20018","14199","4589","...","198","159","...","-","...","-","-","...","820","..."
"Gurupi (TO)","65034","45171","13830","...","510","576","...","173","...","-","21","...","4260","..."
"Ipueiras (TO)","1166","1051","115","...","-","-","...","-","...","-","-","...","-","..."
"Itacajá (TO)","6815","5710","721","...","67","-","...","-","...","-","-","...","307","..."
"Itaguatins (TO)","6386","5746","484","...","13","-","...","-","...","-","-","...","119","..."
"Itapiratins (TO)","3277","2756","290","...","31","-","...","-","...","-","-","...","193","..."
"Itaporã do Tocantins (TO)","2522","1659","421","...","-","-","...","-","...","-","-","...","442","..."
"Jaú do Tocantins (TO)","3121","2272","640","...","-","4","...","-","...","-","-","...","205","..."
"Juarina (TO)","2333","1838","425","...","-","7","...","-","...","-","-","...","63","..."
"Lagoa da Confusão (TO)","6168","4459","703","...","-","-","...","-","...","-","-","...","996","..."
"Lagoa do Tocantins (TO)","2530","2185","316","...","-","-","...","-","...","-","-","...","8","..."
"Lajeado (TO)","2344","2033","227","...","-","5","...","-","...","-","-","...","79","..."
"Lavandeira (TO)","1209","821","385","...","-","-","...","-","...","-","-","...","2","..."
"Lizarda (TO)","3787","3674","107","...","-","-","...","-","...","-","-","...","-","..."
"Luzinópolis (TO)","2021","1712","290","...","-","4","...","-","...","-","-","...","9","..."
"Marianópolis do Tocantins (TO)","3332","2520","371","...","-","-","...","-","...","-","-","...","440","..."
"Mateiros (TO)","1646","1311","335","...","-","-","...","-","...","-","-","...","-","..."
"Maurilândia do Tocantins (TO)","2854","2610","211","...","-","-","...","-","...","-","-","...","33","..."
"Miracema do Tocantins (TO)","24444","18891","3492","...","283","176","...","-","...","-","-","...","1322","..."
"Miranorte (TO)","11802","8834","1735","...","94","5","...","-","...","-","-","...","680","..."
"Monte do Carmo (TO)","5193","4706","460","...","-","-","...","-","...","-","-","...","6","..."
"Monte Santo do Tocantins (TO)","1869","1552","293","...","-","-","...","-","...","-","-","...","24","..."
"Palmeiras do Tocantins (TO)","4622","3975","427","...","5","-","...","-","...","-","-","...","55","..."
"Muricilândia (TO)","2680","2215","328","...","-","-","...","-","...","-","-","...","112","..."
"Natividade (TO)","8867","7825","814","...","7","50","...","-","...","4","-","...","131","..."
"Nazaré (TO)","5150","4569","206","...","6","-","...","-","...","-","-","...","361","..."
"Nova Olinda (TO)","9385","7877","1058","...","38","27","...","-","...","-","-","...","371","..."
"Nova Rosalândia (TO)","3190","2433","511","...","-","9","...","-","...","-","-","...","237","..."
"Novo Acordo (TO)","3057","2492","403","...","5","-","...","-","...","-","-","...","128","..."
"Novo Alegre (TO)","2274","2035","161","...","-","-","...","-","...","-","-","...","78","..."
"Novo Jardim (TO)","2151","1875","262","...","-","-","...","-","...","-","-","...","7","..."
"Oliveira de Fátima (TO)","958","827","131","...","-","-","...","-","...","-","-","...","-","..."
"Palmeirante (TO)","3610","3169","228","...","-","-","...","-","...","-","-","...","155","..."
"Palmeirópolis (TO)","7068","4992","1705","...","14","-","...","-","...","-","-","...","318","..."
"Paraíso do Tocantins (TO)","36130","24154","8854","...","293","227","...","-","...","-","-","...","2457","..."
"Paranã (TO)","10416","9597","808","...","-","-","...","-","...","-","-","...","7","..."
"Pau D'Arco (TO)","4335","3354","696","...","-","5","...","-","...","-","-","...","257","..."
"Pedro Afonso (TO)","9028","7690","1038","...","40","43","...","-","...","-","-","...","214","..."
"Peixe (TO)","8763","7537","956","...","32","48","...","-","...","-","-","...","185","..."
"Pequizeiro (TO)","4591","3765","728","...","-","36","...","-","...","-","-","...","44","..."
"Colméia (TO)","9352","5937","2769","...","46","11","...","-","...","-","-","...","570","..."
"Pindorama do Tocantins (TO)","4685","4015","510","...","-","-","...","-","...","-","-","...","106","..."
"Piraquê (TO)","2524","2236","281","...","-","-","...","-","...","-","-","...","6","..."
"Pium (TO)","5540","4626","484","...","2","4","...","-","...","-","-","...","424","..."
"Ponte Alta do Bom Jesus (TO)","4574","3931","577","...","32","-","...","-","...","-","-","...","13","..."
"Ponte Alta do Tocantins (TO)","6172","5556","577","...","-","-","...","-","...","-","-","...","29","..."
"Porto Alegre do Tocantins (TO)","2393","2041","332","...","-","-","...","-","...","-","-","...","20","..."
"Porto Nacional (TO)","44991","35872","7116","...","278","158","...","-","...","-","-","...","1278","..."
"Praia Norte (TO)","6781","5871","565","...","-","-","...","-","...","-","-","...","277","..."
"Presidente Kennedy (TO)","3759","3236","427","...","18","-","...","-","...","-","-","...","59","..."
"Pugmil (TO)","1989","1432","494","...","-","-","...","-","...","-","-","...","63","..."
"Recursolândia (TO)","3138","2470","624","...","-","-","...","-","...","-","-","...","44","..."
"Riachinho (TO)","3670","3099","425","...","-","-","...","-","...","-","-","...","139","..."
"Rio da Conceição (TO)","1189","961","187","...","-","-","...","-","...","-","-","...","40","..."
"Rio dos Bois (TO)","2269","1832","345","...","6","50","...","-","...","-","-","...","36","..."
"Rio Sono (TO)","6089","4928","1073","...","-","-","...","-","...","-","-","...","60","..."
"Sampaio (TO)","2801","2159","171","...","-","100","...","-","...","-","-","...","344","..."
"Sandolândia (TO)","3332","2122","773","...","-","-","...","-","...","-","-","...","419","..."
"Santa Fé do Araguaia (TO)","5507","4243","850","...","-","-","...","-","...","-","-","...","403","..."
"Santa Maria do Tocantins (TO)","2226","1805","364","...","-","-","...","-","...","-","-","...","37","..."
"Santa Rita do Tocantins (TO)","1852","1599","246","...","-","-","...","-","...","-","-","...","-","..."
"Santa Rosa do Tocantins (TO)","4316","3778","479","...","-","-","...","-","...","-","-","...","-","..."
"Santa Tereza do Tocantins (TO)","2114","1890","224","...","-","-","...","-","...","-","-","...","-","..."
"Santa Terezinha do Tocantins (TO)","2455","2201","88","...","-","-","...","-","...","-","-","...","167","..."
"São Bento do Tocantins (TO)","3738","3325","375","...","-","-","...","-","...","-","-","...","39","..."
"São Félix do Tocantins (TO)","1269","1204","55","...","-","-","...","-","...","-","-","...","6","..."
"São Miguel do Tocantins (TO)","8486","7319","926","...","3","-","...","-","...","-","-","...","205","..."
"São Salvador do Tocantins (TO)","2740","2490","243","...","-","-","...","-","...","-","-","...","7","..."
"São Sebastião do Tocantins (TO)","3669","2989","606","...","-","4","...","-","...","-","-","...","69","..."
"São Valério (TO)","5054","4319","660","...","-","-","...","-","...","-","9","...","39","..."
"Silvanópolis (TO)","4725","4288","375","...","42","-","...","-","...","-","-","...","14","..."
"Sítio Novo do Tocantins (TO)","9488","8320","743","...","29","-","...","-","...","-","-","...","369","..."
"Sucupira (TO)","1476","1025","129","...","-","-","...","-","...","-","-","...","295","..."
"Taguatinga (TO)","13169","12278","821","...","-","11","...","-","...","-","-","...","-","..."
"Taipas do Tocantins (TO)","1713","1590","123","...","-","-","...","-","...","-","-","...","-","..."
"Talismã (TO)","2306","1835","403","...","-","7","...","-","...","-","-","...","24","..."
"Palmas (TO)","137355","90311","33670","...","603","1820","...","18","...","11","-","...","9051","..."
